Folder,GT Distance,Predicted Distance,Error
stand_68_degres_2m_1personnes_rep1,2.0,1.0,1.0
stand_68_degres_2m_1personnesLAB2_rep1,2.0,1.889,0.111
stand_68_degres_1.5m_1personnesLAB2_rep1,1.5,1.444,0.056
stand_68_degres_1.5m_1personnes_rep1,1.5,2.778,1.278
stand_90_degres_2m_1personnesLAB2_rep1,2.0,3.667,1.667
stand_90_degres_2m_1personnes_rep1,2.0,1.0,1.0
stand_68_degres_3m_1personnes_rep1,3.0,2.333,0.667
stand_68_degres_3m_1personnesLAB2_rep1,3.0,1.444,1.556
stand_68_degres_1m_1personnesLAB2_rep3,1.0,1.0,0.0
stand_90_degres_4.5m_1personnesLAB2_rep1,4.5,3.667,0.833
stand_90_degres_4.5m_1personnes_rep1,4.5,4.111,0.389
stand_90_degres_3m_1personnes_rep1,3.0,1.0,2.0
stand_90_degres_3m_1personnesLAB2_rep1,3.0,4.111,1.111
stand_90_degres_3.5m_1personnesLAB2_rep1,3.5,3.667,0.167
stand_90_degres_3.5m_1personnes_rep1,3.5,2.778,0.722
stand_45_degres_1m_1personnes_rep1,1.0,1.0,0.0
stand_45_degres_1m_1personnesLAB2_rep1,1.0,1.0,0.0
stand_90_degres_4m_1personnes_rep1,4.0,4.111,0.111
stand_90_degres_4m_1personnesLAB2_rep1,4.0,3.667,0.333
stand_45_degres_2m_1personnes_rep1,2.0,2.778,0.778
stand_45_degres_2m_1personnesLAB2_rep1,2.0,1.0,1.0
stand_90_degres_2.5m_1personnes_rep1,2.5,4.111,1.611
stand_90_degres_2.5m_1personnesLAB2_rep1,2.5,5.0,2.5
stand_68_degres_3.5m_1personnesLAB2_rep1,3.5,3.667,0.167
stand_68_degres_3.5m_1personnes_rep1,3.5,2.778,0.722
stand_136_degres_0.9m_1personnesLAB2_rep1,0.9,1.0,0.1
stand_136_degres_0.9m_1personnes_rep1,0.9,1.0,0.1
stand_23_degres_1m_1personnes_rep1,1.0,1.0,0.0
stand_23_degres_1m_1personnesLAB2_rep1,1.0,1.0,0.0
stand_68_degres_2.5m_1personnes_rep1,2.5,2.333,0.167
stand_68_degres_2.5m_1personnesLAB2_rep1,2.5,3.667,1.167
stand_90_degres_5m_1personnesLAB2_rep1,5.0,3.667,1.333
stand_90_degres_5m_1personnes_rep1,5.0,1.889,3.111
stand_45_degres_1.5m_1personnes_rep1,1.5,1.0,0.5
stand_45_degres_1.5m_1personnesLAB2_rep1,1.5,1.444,0.056
stand_90_degres_1.5m_1personnesLAB2_rep1,1.5,3.667,2.167
stand_90_degres_1.5m_1personnes_rep1,1.5,1.0,0.5
stand_90_degres_1m_1personnes_rep1,1.0,1.0,0.0
stand_90_degres_1m_1personnesLAB2_rep1,1.0,1.0,0.0
stand_23_degres_1.5m_1personnes_rep1,1.5,1.0,0.5
stand_23_degres_1.5m_1personnesLAB2_rep1,1.5,1.444,0.056
