folder,average_range (m),average_beat_frequency (Hz),ground_truth (m),distance_error (m)
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2m_1personnes_rep1,6.0,8000.0,2.0,4.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2m_1personnesLAB2_rep1,6.0,8000.0,2.0,4.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1.5m_1personnesLAB2_rep1,6.0,8000.0,1.5,4.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1.5m_1personnes_rep1,6.0,8000.0,1.5,4.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnesLAB2_rep1,6.0,8000.0,2.0,4.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnes_rep1,6.0,8000.0,2.0,4.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnes_rep1,6.0,8000.0,3.0,3.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnesLAB2_rep1,6.0,8000.0,3.0,3.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1m_1personnesLAB2_rep3,6.673982188295166,8898.642917726887,1.0,5.673982188295166
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4.5m_1personnesLAB2_rep1,6.0,8000.0,4.5,1.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4.5m_1personnes_rep1,6.0,8000.0,4.5,1.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3m_1personnes_rep1,6.0,8000.0,3.0,3.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3m_1personnesLAB2_rep1,6.0,8000.0,3.0,3.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3.5m_1personnesLAB2_rep1,6.0,8000.0,3.5,2.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3.5m_1personnes_rep1,6.0,8000.0,3.5,2.5
