folder,average_range (m),ground_truth (m),distance_error (m)
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2m_1personnes_rep1,0.4583333333333333,2.0,1.5416666666666667
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2m_1personnesLAB2_rep1,1.6666666666666667,2.0,0.33333333333333326
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1.5m_1personnesLAB2_rep1,1.8333333333333333,1.5,0.33333333333333326
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1.5m_1personnes_rep1,0.375,1.5,1.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnesLAB2_rep1,1.5,2.0,0.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnes_rep1,0.375,2.0,1.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnes_rep1,0.375,3.0,2.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnesLAB2_rep1,3.0,3.0,0.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1m_1personnesLAB2_rep3,1.9583333333333333,1.0,0.9583333333333333
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4.5m_1personnesLAB2_rep1,1.5,4.5,3.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4.5m_1personnes_rep1,0.375,4.5,4.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3m_1personnes_rep1,0.375,3.0,2.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3m_1personnesLAB2_rep1,1.5,3.0,1.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3.5m_1personnesLAB2_rep1,1.5,3.5,2.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3.5m_1personnes_rep1,0.375,3.5,3.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1m_1personnes_rep1,1.8333333333333333,1.0,0.8333333333333333
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1m_1personnesLAB2_rep1,1.125,1.0,0.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnes_rep1,3.0416666666666665,4.0,0.9583333333333335
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnesLAB2_rep1,1.5,4.0,2.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_2m_1personnes_rep1,0.375,2.0,1.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_2m_1personnesLAB2_rep1,1.5,2.0,0.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnes_rep1,0.6666666666666666,2.5,1.8333333333333335
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnesLAB2_rep1,1.5,2.5,1.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnesLAB2_rep1,3.0,3.5,0.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnes_rep1,0.375,3.5,3.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_136_degres_0.9m_1personnesLAB2_rep1,0.375,0.9,0.525
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_136_degres_0.9m_1personnes_rep1,1.5416666666666667,0.9,0.6416666666666667
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1m_1personnes_rep1,0.375,1.0,0.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1m_1personnesLAB2_rep1,1.5,1.0,0.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2.5m_1personnes_rep1,0.375,2.5,2.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2.5m_1personnesLAB2_rep1,2.6666666666666665,2.5,0.16666666666666652
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_5m_1personnesLAB2_rep1,1.5,5.0,3.5
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_5m_1personnes_rep1,3.0,5.0,2.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1.5m_1personnes_rep1,0.375,1.5,1.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1.5m_1personnesLAB2_rep1,1.5,1.5,0.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1.5m_1personnesLAB2_rep1,1.5,1.5,0.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1.5m_1personnes_rep1,0.5,1.5,1.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnes_rep1,0.375,1.0,0.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnesLAB2_rep1,0.375,1.0,0.625
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnes_rep1,0.375,1.5,1.125
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnesLAB2_rep1,1.5,1.5,0.0
